"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"whimsy wall hanging",1,643,"100","1"
"craft board",1,111329,"100","1"
"weaving frame loom",1,442,"100","1"
"scandinavian weaving",1,1164,"100","1"
"weaving drafts",1,3685,"100","1"
"you can do it",1,11783,"100","1"
"gift student",1,496184,"100","1"
"hat loom",1,4471,"100","1"
"sevilla spain",1,709,"100","1"
"sevilla ceramics",1,21,"66","1"
"global wall decor",1,4534,"100","1"
"c2c crochet",1,12259,"100","1"
"friendly loom",1,367,"100","1"
"weaving art",1,46074,"100","1"
"small loom kit",1,333,"100","1"
"wooden frame loom",1,93,"98","1"
"kraken wall art",1,2186,"100","1"
"kraken wall hanging",1,62,"90","1"
"charizard art",1,3456,"100","1"
"sewing repair",1,12208,"100","1"
"baby annoucement",1,5925,"100","1"
"gender surprise",1,18498,"100","1"
"what will it be",1,186034,"100","1"
"colorful dorm art",1,84196,"100","1"
"learning decor",1,67280,"100","1"
"education decor",1,41162,"100","1"
"music class decor",1,2171,"100","1"
"japanese weaving",1,5289,"100","1"
"yuzen",1,3038,"100","1"
"major arcana",1,6811,"100","1"
"candlelight",1,7923,"100","1"
